CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"8,476","7,993","8,861","7,822","8,432","8,032","8,605","8,708","8,328","9,195","8,784","8,784","102,020"
ROBO COMUN,"8,476","7,992","8,861","7,822","8,432","8,030","8,598","8,703","8,325","9,181","8,775","8,778","101,973"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,0,1,0,0,0,2,7,5,3,14,9,6,47
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,880","1,779","2,038","1,891","2,015","2,069","2,032","2,078","2,200","2,165","1,969","1,969","24,085"
DOLOSAS,"1,111","1,088","1,221","1,197","1,271","1,313","1,242","1,251","1,349","1,352","1,186","1,186","14,767"
CULPOSAS,769,691,817,694,744,756,790,827,851,813,783,783,"9,318"
TOTAL DE HOMICIDIOS,127,122,152,120,132,134,155,149,136,165,151,151,"1,694"
DOLOSOS,64,63,77,58,68,63,70,67,61,76,70,70,807
CULPOSOS,63,59,75,62,64,71,85,82,75,89,81,81,887
DELITOS PATRIMONIALES,"1,403","1,376","1,620","1,501","1,598","2,109","2,193","2,184","2,237","2,414","2,249","2,249","23,133"
PRIV. DE LA LIBERTAD (SECUESTRO),0,10,16,11,13,10,7,11,15,16,17,22,148
DELITOS SEXUALES (VIOLACION),84,98,93,85,93,92,130,126,104,108,104,104,"1,221"
OTROS DELITOS,"1,281","1,281","1,520","1,488","1,558","1,666","1,810","1,725","1,707","1,770","1,699","1,663","19,168"
AMENAZAS,251,245,323,258,300,336,342,322,344,388,370,370,"3,849"
ESTUPRO,4,1,4,2,2,5,8,3,3,2,2,2,38
OTROS SEXUALES,131,110,144,134,136,164,174,158,167,144,147,147,"1,756"
RESTO DE LOS DELITOS (OTROS),895,925,"1,049","1,094","1,120","1,161","1,286","1,242","1,193","1,236","1,180","1,144","13,525"
