CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
1TOTAL DE ROBOS,"5,879","5,944","6,527","6,444","6,405","6,380","6,661","7,276","7,341","7,885","7,596","7,217","81,555"
1.1ROBO COMUN,"5,878","5,940","6,525","6,443","6,404","6,379","6,658","7,274","7,337","7,882","7,594","7,215","81,529"
1.11CON VIOLENCIA,"1,677","1,728","1,945","1,853","1,757","1,512","1,244","1,477","1,911","2,097","2,153","2,114","21,468"
1.12SIN VIOLENCIA,"4,201","4,212","4,580","4,590","4,647","4,867","5,414","5,797","5,426","5,785","5,441","5,101","60,061"
1.2ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
1.3ROBO EN INSTITUCIONES BANCARIAS,1,4,2,1,1,1,3,2,4,3,2,2,26
1.31CON VIOLENCIA,1,2,1,0,0,1,1,2,3,1,1,2,15
1.32SIN VIOLENCIA,0,2,1,1,1,0,2,0,1,2,1,0,11
1.4ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOTAL DE LESIONES,761,800,874,872,908,854,904,937,958,"1,011",899,890,"10,668"
2.1DOLOSAS,280,299,387,341,409,394,477,511,530,542,501,477,"5,148"
2.2CULPOSAS,481,501,487,531,499,460,427,426,428,469,398,413,"5,520"
3TOTAL DE HOMICIDIOS,118,139,130,123,127,112,121,134,164,136,142,194,"1,640"
3.1DOLOSOS,69,69,78,73,81,77,77,68,94,84,78,104,952
3.2CULPOSOS,49,70,52,50,46,35,44,66,70,52,64,90,688
4DELITOS PATRIMONIALES,"2,269","2,409","2,386","2,452","2,466","2,504","2,468","2,432","2,446","2,458","2,366","2,185","28,841"
5PRIV. DE LA LIBERTAD (SECUESTRO),4,3,3,3,6,4,6,5,2,1,5,4,46
6DELITOS SEXUALES (VIOLACION),29,38,27,42,58,79,67,58,63,34,29,45,569
7OTROS DELITOS,"3,978","4,611","4,927","5,296","5,402","5,004","4,369","4,654","4,690","4,815","4,403","4,252","56,401"
AMENAZAS,677,797,841,910,932,866,834,781,902,951,738,685,"9,914"
ESTUPRO,1,3,0,2,1,2,2,1,1,1,1,0,15
OTROS SEXUALES,124,143,151,193,253,245,215,163,167,140,144,118,"2,056"
RESTO DE LOS DELITOS (OTROS),"3,176","3,668","3,935","4,191","4,216","3,891","3,318","3,709","3,620","3,723","3,520","3,449","44,416"
