CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"6,983","6,474","6,957","6,878","6,867","6,752","6,700","6,999","6,739","7,007","6,654","6,369","81,379"
ROBO COMUN,"6,979","6,461","6,949","6,876","6,866","6,751","6,700","6,995","6,731","7,007","6,649","6,366","81,330"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,4,13,8,2,1,1,0,4,8,0,5,3,49
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,948","1,866","2,027","1,984","2,183","2,074","1,802","1,925","1,943","1,980","1,929","1,913","23,574"
DOLOSAS,"1,112","1,078","1,154","1,206","1,329","1,286","1,068","1,125","1,119","1,159","1,105","1,118","13,859"
CULPOSAS,836,788,873,778,854,788,734,800,824,821,824,795,"9,715"
TOTAL DE HOMICIDIOS,137,105,103,124,92,144,139,138,122,139,150,138,"1,531"
DOLOSOS,52,44,49,65,47,68,64,50,59,68,61,71,698
CULPOSOS,85,61,54,59,45,76,75,88,63,71,89,67,833
DELITOS PATRIMONIALES,"2,150","2,189","2,241","2,399","2,360","2,390","2,296","2,328","2,401","2,378","2,351","2,209","27,692"
PRIV. DE LA LIBERTAD (SECUESTRO),12,11,11,14,12,6,7,5,2,8,10,5,103
DELITOS SEXUALES (VIOLACION),78,87,80,98,106,110,103,105,92,113,114,99,"1,185"
OTROS DELITOS,"1,547","1,451","1,562","1,508","1,589","1,722","1,594","1,574","1,502","1,573","1,496","1,415","18,533"
AMENAZAS,343,329,369,357,366,385,315,322,348,346,358,281,"4,119"
ESTUPRO,4,4,2,0,0,2,2,2,2,3,2,2,25
OTROS SEXUALES,132,143,145,145,153,174,156,138,144,179,143,130,"1,782"
RESTO DE LOS DELITOS (OTROS),"1,068",975,"1,046","1,006","1,070","1,161","1,121","1,112","1,008","1,045",993,"1,002","12,607"
