CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"8,050","7,699","8,577","7,970","8,129","7,871","8,242","7,793","7,994","8,377","7,555","7,366","95,623"
ROBO COMUN,"8,041","7,696","8,565","7,961","8,125","7,868","8,231","7,778","7,966","8,350","7,528","7,362","95,471"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,9,3,12,9,4,3,11,15,28,27,27,4,152
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,895","2,135","2,361","2,136","2,384","2,081","2,061","2,079","2,098","2,111","1,869","1,813","25,023"
DOLOSAS,"1,172","1,342","1,474","1,355","1,584","1,290","1,279","1,258","1,272","1,311","1,104","1,018","15,459"
CULPOSAS,723,793,887,781,800,791,782,821,826,800,765,795,"9,564"
TOTAL DE HOMICIDIOS,151,141,147,133,117,132,149,120,125,157,127,136,"1,635"
DOLOSOS,65,68,76,62,47,56,62,52,55,71,53,48,715
CULPOSOS,86,73,71,71,70,76,87,68,70,86,74,88,920
DELITOS PATRIMONIALES,"2,102","2,040","2,322","2,154","2,237","2,243","2,412","2,317","2,441","2,556","2,164","2,075","27,063"
PRIV. DE LA LIBERTAD (SECUESTRO),11,5,8,5,7,11,11,11,18,13,18,18,136
DELITOS SEXUALES (VIOLACION),101,94,127,113,131,136,101,102,107,114,105,85,"1,316"
OTROS DELITOS,"1,754","1,826","2,046","1,918","2,037","1,912","1,990","1,876","1,855","1,828","1,637","1,352","22,031"
AMENAZAS,420,456,525,487,475,458,466,431,464,460,378,327,"5,347"
ESTUPRO,2,1,2,2,1,1,3,1,3,2,1,2,21
OTROS SEXUALES,152,161,194,179,222,165,161,170,153,164,164,120,"2,005"
RESTO DE LOS DELITOS (OTROS),"1,180","1,208","1,325","1,250","1,339","1,288","1,360","1,274","1,235","1,202","1,094",903,"14,658"
