CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"7,402","7,280","7,278","7,496","7,563","7,111","7,680","8,120","7,978","8,469","8,209","8,298","92,884"
ROBO COMUN,"7,398","7,278","7,278","7,496","7,557","7,108","7,679","8,120","7,973","8,464","8,205","8,292","92,848"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,4,2,0,0,6,3,1,0,5,5,4,6,36
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,824","1,974","1,960","2,015","2,107","1,898","2,005","2,005","2,121","2,179","2,059","2,188","24,335"
DOLOSAS,"1,126","1,281","1,263","1,298","1,373","1,200","1,228","1,231","1,370","1,372","1,334","1,408","15,484"
CULPOSAS,698,693,697,717,734,698,777,774,751,807,725,780,"8,851"
TOTAL DE HOMICIDIOS,136,120,125,102,143,114,127,123,122,137,124,126,"1,499"
DOLOSOS,66,58,51,49,72,49,66,61,51,60,71,59,713
CULPOSOS,70,62,74,53,71,65,61,62,71,77,53,67,786
DELITOS PATRIMONIALES,"2,016","2,119","2,157","2,375","2,452","2,378","1,710","1,875","1,966","2,087","1,864","1,897","24,896"
PRIV. DE LA LIBERTAD (SECUESTRO),14,9,18,13,10,14,7,8,9,10,14,13,139
DELITOS SEXUALES (VIOLACION),96,87,100,116,144,101,102,102,116,110,113,83,"1,270"
OTROS DELITOS,"1,736","1,843","2,201","2,278","2,309","2,173","2,290","2,539","2,844","2,634","2,344","2,507","27,698"
AMENAZAS,342,340,369,386,411,362,416,504,591,560,487,513,"5,281"
ESTUPRO,4,1,2,2,2,5,3,2,3,2,3,2,31
OTROS SEXUALES,191,201,190,209,248,228,235,273,247,220,210,205,"2,657"
RESTO DE LOS DELITOS (OTROS),"1,199","1,301","1,640","1,681","1,648","1,578","1,636","1,760","2,003","1,852","1,644","1,787","19,729"
