CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
1TOTAL DE ROBOS,"7,695","7,614","8,201","7,130","7,779","7,294","7,529","7,569","7,133","7,426","6,743","6,588","88,701"
1.1ROBO COMUN,"7,693","7,611","8,194","7,127","7,776","7,287","7,527","7,563","7,126","7,420","6,739","6,583","88,646"
1.11CON VIOLENCIA,"3,438","3,391","3,601","2,905","3,341","3,029","3,156","3,099","2,836","2,920","2,580","2,637","36,933"
1.12SIN VIOLENCIA,"4,255","4,220","4,593","4,222","4,435","4,258","4,371","4,464","4,290","4,500","4,159","3,946","51,713"
1.2ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
1.3ROBO EN INSTITUCIONES BANCARIAS,2,3,7,3,3,7,2,6,7,6,4,5,55
1.31CON VIOLENCIA,2,2,6,3,2,7,2,5,4,6,4,4,47
1.32SIN VIOLENCIA,0,1,1,0,1,0,0,1,3,0,0,1,8
1.4ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOTAL DE LESIONES,"1,123","1,255","1,390","1,155","1,215","1,219","1,132","1,118","1,240","1,234","1,148","1,270","14,499"
2.1DOLOSAS,608,689,721,572,604,616,548,536,645,599,551,651,"7,340"
2.2CULPOSAS,515,566,669,583,611,603,584,582,595,635,597,619,"7,159"
3TOTAL DE HOMICIDIOS,114,137,132,102,111,138,106,120,148,129,112,151,"1,500"
3.1DOLOSOS,54,77,62,55,68,73,56,68,72,68,50,76,779
3.2CULPOSOS,60,60,70,47,43,65,50,52,76,61,62,75,721
4DELITOS PATRIMONIALES,"2,545","2,605","2,692","2,501","2,786","2,712","2,719","2,671","2,678","2,758","2,542","2,369","31,578"
5PRIV. DE LA LIBERTAD (SECUESTRO),4,5,6,3,6,7,4,3,7,8,6,6,65
6DELITOS SEXUALES (VIOLACION),73,55,84,63,83,65,77,78,85,52,72,56,843
7OTROS DELITOS,"2,996","3,272","3,573","3,168","3,760","3,560","3,523","3,608","3,659","4,014","3,547","3,280","41,960"
AMENAZAS,930,"1,040","1,130",962,"1,148","1,046","1,039","1,079","1,026","1,094",977,858,"12,329"
ESTUPRO,2,4,0,3,0,1,0,1,1,1,0,0,13
OTROS SEXUALES,187,197,216,180,241,196,189,231,188,186,161,138,"2,310"
RESTO DE LOS DELITOS (OTROS),"1,877","2,031","2,227","2,023","2,371","2,317","2,295","2,297","2,444","2,733","2,409","2,284","27,308"
