CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"7,485","7,248","7,810","7,202","7,495","7,417","7,247","7,370","7,409","7,749","7,424","6,939","88,795"
ROBO COMUN,"7,479","7,243","7,803","7,197","7,489","7,410","7,241","7,367","7,409","7,746","7,424","6,935","88,743"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,6,5,7,5,6,7,6,3,0,3,0,4,52
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,670","1,844","2,227","1,924","2,145","1,910","1,883","1,995","2,089","2,176","2,027","1,897","23,787"
DOLOSAS,941,"1,089","1,332","1,144","1,318","1,092","1,095","1,186","1,221","1,253","1,181","1,094","13,946"
CULPOSAS,729,755,895,780,827,818,788,809,868,923,846,803,"9,841"
TOTAL DE HOMICIDIOS,133,131,139,114,132,134,107,106,123,144,132,140,"1,535"
DOLOSOS,64,70,68,47,62,63,54,51,58,52,63,58,710
CULPOSOS,69,61,71,67,70,71,53,55,65,92,69,82,825
DELITOS PATRIMONIALES,"2,022","2,129","2,354","1,955","2,183","2,228","2,344","2,298","2,500","2,494","2,233","2,340","27,080"
PRIV. DE LA LIBERTAD (SECUESTRO),18,19,27,13,0,7,10,6,7,9,3,26,145
DELITOS SEXUALES (VIOLACION),90,106,119,90,110,101,114,99,111,96,109,84,"1,229"
OTROS DELITOS,"1,418","1,633","1,787","1,642","1,667","1,724","1,900","1,701","1,711","1,774","1,538","1,419","19,914"
AMENAZAS,309,340,372,374,340,409,405,378,432,386,353,321,"4,419"
ESTUPRO,0,4,3,2,3,5,2,3,1,2,1,3,29
OTROS SEXUALES,126,164,184,178,167,171,169,162,163,167,161,126,"1,938"
RESTO DE LOS DELITOS (OTROS),983,"1,125","1,228","1,088","1,157","1,139","1,324","1,158","1,115","1,219","1,023",969,"13,528"
