CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
1TOTAL DE ROBOS,"6,104","6,128","6,764","6,417","6,577","6,665","6,693","6,378","6,420","6,674","6,320","6,295","77,435"
1.1ROBO COMUN,"6,099","6,125","6,761","6,417","6,576","6,664","6,690","6,378","6,418","6,673","6,318","6,291","77,410"
1.11CON VIOLENCIA,"1,917","1,776","2,029","2,017","1,989","2,118","2,044","1,962","1,956","2,021","1,921","1,939","23,689"
1.12SIN VIOLENCIA,"4,182","4,349","4,732","4,400","4,587","4,546","4,646","4,416","4,462","4,652","4,397","4,352","53,721"
1.2ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
1.3ROBO EN INSTITUCIONES BANCARIAS,5,3,3,0,1,1,3,0,2,1,2,4,25
1.31CON VIOLENCIA,4,2,3,0,0,1,3,0,2,0,2,4,21
1.32SIN VIOLENCIA,1,1,0,0,1,0,0,0,0,1,0,0,4
1.4ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOTAL DE LESIONES,829,875,985,974,991,865,946,965,956,969,955,952,"11,262"
2.1DOLOSAS,497,458,542,552,564,479,497,537,549,517,525,429,"6,146"
2.2CULPOSAS,332,417,443,422,427,386,449,428,407,452,430,523,"5,116"
3TOTAL DE HOMICIDIOS,105,150,134,140,167,132,141,141,128,131,138,134,"1,641"
3.1DOLOSOS,59,62,59,81,84,73,73,75,76,67,73,72,854
3.2CULPOSOS,46,88,75,59,83,59,68,66,52,64,65,62,787
4DELITOS PATRIMONIALES,"1,933","1,923","2,291","2,202","2,238","2,473","2,573","2,352","2,490","2,555","2,394","2,377","27,801"
5PRIV. DE LA LIBERTAD (SECUESTRO),3,4,3,5,5,2,6,3,5,9,4,6,55
6DELITOS SEXUALES (VIOLACION),39,39,57,47,77,51,88,75,61,74,53,50,711
7OTROS DELITOS,"3,189","3,314","4,037","4,097","4,195","4,622","4,630","4,446","4,587","4,872","4,568","4,239","50,796"
AMENAZAS,742,587,769,795,878,970,913,849,913,895,781,768,"9,860"
ESTUPRO,1,1,1,1,0,1,0,0,2,0,1,0,8
OTROS SEXUALES,97,103,127,134,166,160,152,157,153,174,161,95,"1,679"
RESTO DE LOS DELITOS (OTROS),"2,349","2,623","3,140","3,167","3,151","3,491","3,565","3,440","3,519","3,803","3,625","3,376","39,249"
