CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"6,460","6,158","6,693","6,007","6,706","6,336","6,624","6,939","6,609","6,682","6,536","6,514","78,264"
ROBO COMUN,"6,451","6,152","6,691","6,003","6,705","6,335","6,622","6,936","6,606","6,676","6,525","6,509","78,211"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,9,6,2,4,1,1,2,3,3,6,11,5,53
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,739","1,713","1,932","1,797","1,931","2,072","1,753","1,873","2,011","2,096","1,796","1,924","22,637"
DOLOSAS,995,"1,007","1,176","1,117","1,134","1,294",975,"1,090","1,186","1,227","1,045","1,096","13,342"
CULPOSAS,744,706,756,680,797,778,778,783,825,869,751,828,"9,295"
TOTAL DE HOMICIDIOS,122,113,119,121,122,110,119,145,115,128,132,164,"1,510"
DOLOSOS,62,43,56,46,51,42,40,72,60,49,60,68,649
CULPOSOS,60,70,63,75,71,68,79,73,55,79,72,96,861
DELITOS PATRIMONIALES,"2,147","2,021","2,336","2,131","2,352","2,350","2,216","2,312","2,189","2,338","2,105","2,040","26,537"
PRIV. DE LA LIBERTAD (SECUESTRO),3,7,7,4,7,13,5,10,13,2,5,16,92
DELITOS SEXUALES (VIOLACION),94,70,93,95,114,97,94,119,94,109,100,90,"1,169"
OTROS DELITOS,"1,535","1,565","1,851","1,545","1,649","1,876","1,636","1,487","1,543","1,637","1,356","1,384","19,064"
AMENAZAS,276,309,328,285,271,350,306,261,275,273,246,262,"3,442"
ESTUPRO,2,3,1,2,3,3,1,1,2,5,4,1,28
OTROS SEXUALES,140,162,197,168,174,177,152,143,150,189,124,152,"1,928"
RESTO DE LOS DELITOS (OTROS),"1,117","1,091","1,325","1,090","1,201","1,346","1,177","1,082","1,116","1,170",982,969,"13,666"
