CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
1TOTAL DE ROBOS,"7,786","7,467","8,148","7,310","7,778","7,427","7,526","8,050","7,730","7,849","7,693","7,421","92,185"
1.1ROBO COMUN,"7,781","7,462","8,140","7,302","7,773","7,420","7,521","8,043","7,727","7,847","7,689","7,417","92,122"
1.11CON VIOLENCIA,"3,758","3,571","3,905","3,441","3,737","3,438","3,454","3,674","3,561","3,611","3,490","3,429","43,069"
1.12SIN VIOLENCIA,"4,023","3,891","4,235","3,861","4,036","3,982","4,067","4,369","4,166","4,236","4,199","3,988","49,053"
1.2ROBO DE GANADO (ABIGEATO),1,0,0,0,0,0,0,0,0,0,0,0,1
1.3ROBO EN INSTITUCIONES BANCARIAS,4,5,8,8,5,7,5,7,3,2,4,4,62
1.31CON VIOLENCIA,4,4,7,7,4,7,4,6,3,1,3,4,54
1.32SIN VIOLENCIA,0,1,1,1,1,0,1,1,0,1,1,0,8
1.4ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOTAL DE LESIONES,"1,983","2,020","1,934","1,475","1,453","1,266","1,143","1,280","1,275","1,349","1,229","1,268","17,675"
2.1DOLOSAS,"1,384","1,404","1,305",896,848,702,604,725,699,659,638,675,"10,539"
2.2CULPOSAS,599,616,629,579,605,564,539,555,576,690,591,593,"7,136"
3TOTAL DE HOMICIDIOS,125,99,127,128,147,133,122,134,124,145,124,120,"1,528"
3.1DOLOSOS,62,45,67,61,83,64,67,69,60,81,59,61,779
3.2CULPOSOS,63,54,60,67,64,69,55,65,64,64,65,59,749
4DELITOS PATRIMONIALES,"2,354","2,330","2,901","2,528","2,678","2,845","2,641","2,765","2,614","2,575","2,524","2,422","31,177"
5PRIV. DE LA LIBERTAD (SECUESTRO),0,7,3,4,5,6,1,6,5,6,7,4,54
6DELITOS SEXUALES (VIOLACION),115,111,129,99,117,98,82,93,79,99,69,71,"1,162"
7OTROS DELITOS,"2,836","3,113","3,648","3,730","4,094","3,811","3,268","3,712","3,573","3,540","3,262","3,108","41,695"
AMENAZAS,740,802,954,"1,019","1,178","1,138",928,"1,088","1,161","1,065",998,928,"11,999"
ESTUPRO,2,3,7,2,5,1,3,2,2,1,1,0,29
OTROS SEXUALES,158,238,239,211,264,274,196,231,215,193,205,157,"2,581"
RESTO DE LOS DELITOS (OTROS),"1,936","2,070","2,448","2,498","2,647","2,398","2,141","2,391","2,195","2,281","2,058","2,023","27,086"
