CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
1TOTAL DE ROBOS,"7,964","7,403","8,027","7,431","8,639","8,920","8,886","9,266","8,348","9,543","9,153","9,134","102,714"
1.1ROBO COMUN,"7,961","7,399","8,020","7,430","8,634","8,919","8,881","9,263","8,346","9,540","9,152","9,133","102,678"
1.11CON VIOLENCIA,"2,257","1,840","2,070","1,795","2,398","2,431","2,413","2,580","2,255","2,504","2,494","2,471","27,508"
1.12SIN VIOLENCIA,"5,704","5,559","5,950","5,635","6,236","6,488","6,468","6,683","6,091","7,036","6,658","6,662","75,170"
1.2ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
1.3ROBO EN INSTITUCIONES BANCARIAS,3,4,7,1,5,1,5,3,2,3,1,1,36
1.31CON VIOLENCIA,3,2,3,1,3,1,2,2,1,3,0,1,22
1.32SIN VIOLENCIA,0,2,4,0,2,0,3,1,1,0,1,0,14
1.4ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42SIN VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2TOTAL DE LESIONES,917,899,959,845,"1,054",915,889,964,944,"1,024",937,926,"11,273"
2.1DOLOSAS,513,535,545,504,639,540,520,562,564,623,534,549,"6,628"
2.2CULPOSAS,404,364,414,341,415,375,369,402,380,401,403,377,"4,645"
3TOTAL DE HOMICIDIOS,170,147,139,149,180,165,154,149,142,154,142,162,"1,853"
3.1DOLOSOS,97,73,74,91,103,103,80,90,97,97,82,98,"1,085"
3.2CULPOSOS,73,74,65,58,77,62,74,59,45,57,60,64,768
4DELITOS PATRIMONIALES,"2,370","2,268","2,556","2,207","2,797","2,696","2,553","2,665","2,443","2,923","2,577","2,268","30,323"
5PRIV. DE LA LIBERTAD (SECUESTRO),1,4,4,4,4,4,5,5,3,2,2,2,40
6DELITOS SEXUALES (VIOLACION),25,34,33,28,26,24,23,29,20,24,20,19,305
7OTROS DELITOS,"4,289","4,050","4,711","4,549","5,072","5,118","4,727","5,366","4,895","5,179","4,996","4,618","57,570"
AMENAZAS,705,730,777,732,826,845,734,835,856,813,764,687,"9,304"
ESTUPRO,1,1,2,1,1,0,1,0,2,0,1,2,12
OTROS SEXUALES,114,113,146,161,170,185,151,153,120,152,156,113,"1,734"
RESTO DE LOS DELITOS (OTROS),"3,469","3,206","3,786","3,655","4,075","4,088","3,841","4,378","3,917","4,214","4,075","3,816","46,520"
