CONCEPTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
TOTAL DE ROBOS,"6,697","6,316","7,113","6,786","7,506","7,176","7,219","7,413","7,493","7,966","7,747","7,215","86,647"
ROBO COMUN,"6,685","6,308","7,107","6,784","7,503","7,175","7,215","7,411","7,492","7,965","7,742","7,211","86,598"
ROBO DE GANADO (ABIGEATO),0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO EN INSTITUCIONES BANCARIAS,12,8,6,2,3,1,4,2,1,1,5,4,49
ROBO EN CARRETERAS,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE LESIONES,"1,817","1,940","2,144","1,891","2,129","2,050","1,855","1,934","2,048","2,087","1,859","2,090","23,844"
DOLOSAS,"1,085","1,137","1,346","1,105","1,315","1,320","1,144","1,189","1,325","1,354","1,134","1,321","14,775"
CULPOSAS,732,803,798,786,814,730,711,745,723,733,725,769,"9,069"
TOTAL DE HOMICIDIOS,117,117,140,107,156,127,108,119,141,148,145,168,"1,593"
DOLOSOS,57,54,55,52,68,61,56,49,71,65,56,70,714
CULPOSOS,60,63,85,55,88,66,52,70,70,83,89,98,879
DELITOS PATRIMONIALES,"2,110","2,170","2,453","2,168","2,269","2,348","2,239","2,317","2,391","2,469","2,193","2,057","27,184"
PRIV. DE LA LIBERTAD (SECUESTRO),3,3,18,5,18,9,7,6,9,9,12,19,118
DELITOS SEXUALES (VIOLACION),104,120,121,107,133,103,110,105,133,115,90,102,"1,343"
OTROS DELITOS,"1,544","1,776","2,047","1,741","1,996","1,958","1,963","1,829","1,831","1,842","1,763","1,529","21,819"
AMENAZAS,279,336,388,334,360,383,364,341,331,351,319,286,"4,072"
ESTUPRO,3,2,1,2,1,3,1,2,2,5,5,2,29
OTROS SEXUALES,138,176,195,151,192,203,191,186,179,204,200,153,"2,168"
RESTO DE LOS DELITOS (OTROS),"1,124","1,262","1,463","1,254","1,443","1,369","1,407","1,300","1,319","1,282","1,239","1,088","15,550"
